estado;data;obitos
Acre;2015/01/01;249
Alagoas;2015/01/01;897
Amapá;2015/01/01;232
Amazonas;2015/01/01;420
Bahia;2015/01/01;4455
Ceará;2015/01/01;604
Distrito Federal;2015/01/01;1280
Espírito Santo;2015/01/01;2007
Goiás;2015/01/01;2206
Maranhão;2015/01/01;250
Mato Grosso;2015/01/01;1306
Mato Grosso do Sul;2015/01/01;656
Minas Gerais;2015/01/01;9953
Paraná;2015/01/01;5939
Paraíba;2015/01/01;1542
Pará;2015/01/01;329
Pernambuco;2015/01/01;5039
Piauí;2015/01/01;219
Rio Grande do Norte;2015/01/01;401
Rio Grande do Sul;2015/01/01;5237
Rio de Janeiro;2015/01/01;4726
Rondônia;2015/01/01;542
Roraima;2015/01/01;89
Santa Catarina;2015/01/01;2619
Sergipe;2015/01/01;911
São Paulo;2015/01/01;26242
Tocantins;2015/01/01;286
Acre;2015/02/01;209
Alagoas;2015/02/01;416
Amapá;2015/02/01;159
Amazonas;2015/02/01;417
Bahia;2015/02/01;3673
Ceará;2015/02/01;585
Distrito Federal;2015/02/01;1089
Espírito Santo;2015/02/01;1801
Goiás;2015/02/01;1787
Maranhão;2015/02/01;246
Mato Grosso;2015/02/01;1190
Mato Grosso do Sul;2015/02/01;537
Minas Gerais;2015/02/01;8077
Paraná;2015/02/01;5190
Paraíba;2015/02/01;1452
Pará;2015/02/01;301
Pernambuco;2015/02/01;4470
Piauí;2015/02/01;149
Rio Grande do Norte;2015/02/01;303
Rio Grande do Sul;2015/02/01;5064
Rio de Janeiro;2015/02/01;3342
Rondônia;2015/02/01;430
Roraima;2015/02/01;61
Santa Catarina;2015/02/01;2267
Sergipe;2015/02/01;818
São Paulo;2015/02/01;20398
Tocantins;2015/02/01;220
Acre;2015/03/01;255
Alagoas;2015/03/01;491
Amapá;2015/03/01;164
Amazonas;2015/03/01;183
Bahia;2015/03/01;4211
Ceará;2015/03/01;717
Distrito Federal;2015/03/01;1264
Espírito Santo;2015/03/01;1944
Goiás;2015/03/01;2053
Maranhão;2015/03/01;248
Mato Grosso;2015/03/01;1238
Mato Grosso do Sul;2015/03/01;605
Minas Gerais;2015/03/01;9599
Paraná;2015/03/01;5819
Paraíba;2015/03/01;1373
Pará;2015/03/01;348
Pernambuco;2015/03/01;4823
Piauí;2015/03/01;168
Rio Grande do Norte;2015/03/01;564
Rio Grande do Sul;2015/03/01;5348
Rio de Janeiro;2015/03/01;3618
Rondônia;2015/03/01;434
Roraima;2015/03/01;67
Santa Catarina;2015/03/01;2542
Sergipe;2015/03/01;963
São Paulo;2015/03/01;23381
Tocantins;2015/03/01;314
Acre;2015/04/01;216
Alagoas;2015/04/01;573
Amapá;2015/04/01;208
Amazonas;2015/04/01;155
Bahia;2015/04/01;3773
Ceará;2015/04/01;803
Distrito Federal;2015/04/01;1279
Espírito Santo;2015/04/01;1767
Goiás;2015/04/01;2286
Maranhão;2015/04/01;268
Mato Grosso;2015/04/01;1367
Mato Grosso do Sul;2015/04/01;648
Minas Gerais;2015/04/01;9524
Paraná;2015/04/01;5772
Paraíba;2015/04/01;1478
Pará;2015/04/01;295
Pernambuco;2015/04/01;4750
Piauí;2015/04/01;218
Rio Grande do Norte;2015/04/01;531
Rio Grande do Sul;2015/04/01;4989
Rio de Janeiro;2015/04/01;3944
Rondônia;2015/04/01;448
Roraima;2015/04/01;77
Santa Catarina;2015/04/01;2450
Sergipe;2015/04/01;928
São Paulo;2015/04/01;24669
Tocantins;2015/04/01;311
Acre;2015/05/01;244
Alagoas;2015/05/01;486
Amapá;2015/05/01;202
Amazonas;2015/05/01;475
Bahia;2015/05/01;4414
Ceará;2015/05/01;865
Distrito Federal;2015/05/01;1315
Espírito Santo;2015/05/01;1859
Goiás;2015/05/01;2378
Maranhão;2015/05/01;247
Mato Grosso;2015/05/01;1394
Mato Grosso do Sul;2015/05/01;685
Minas Gerais;2015/05/01;10145
Paraná;2015/05/01;5996
Paraíba;2015/05/01;1746
Pará;2015/05/01;257
Pernambuco;2015/05/01;4685
Piauí;2015/05/01;227
Rio Grande do Norte;2015/05/01;397
Rio Grande do Sul;2015/05/01;5125
Rio de Janeiro;2015/05/01;4787
Rondônia;2015/05/01;558
Roraima;2015/05/01;72
Santa Catarina;2015/05/01;2585
Sergipe;2015/05/01;908
São Paulo;2015/05/01;25117
Tocantins;2015/05/01;283
Acre;2015/06/01;220
Alagoas;2015/06/01;572
Amapá;2015/06/01;195
Amazonas;2015/06/01;149
