"data_notificacao";"casos"
2020-07-13;1
2020-12-17;1
2020-01-04;1
2020-01-08;1
2020-01-14;2
2020-01-19;1
2020-02-02;1
2020-02-22;1
2020-03-09;1
2020-03-11;1
2020-03-12;1
2020-03-13;2
2020-03-15;3
2020-03-16;5
2020-03-17;15
2020-03-18;3
2020-03-19;3
2020-03-20;11
2020-03-21;4
2020-03-22;7
2020-03-23;2
2020-03-24;6
2020-03-25;15
2020-03-26;5
2020-03-27;18
2020-03-28;6
2020-03-29;8
2020-03-30;18
2020-03-31;13
2020-04-01;8
2020-04-02;5
2020-04-03;10
2020-04-04;3
2020-04-05;5
2020-04-06;21
2020-04-07;11
2020-04-08;18
2020-04-09;9
2020-04-10;5
2020-04-11;4
2020-04-12;2
2020-04-13;20
2020-04-14;5
2020-04-15;11
2020-04-16;6
2020-04-17;9
2020-04-18;10
2020-04-19;2
2020-04-20;24
2020-04-21;4
2020-04-22;20
2020-04-23;21
2020-04-24;22
2020-04-25;6
2020-04-27;13
2020-04-28;16
2020-04-29;21
2020-04-30;12
2020-05-01;3
2020-05-03;3
2020-05-04;16
2020-05-05;17
2020-05-06;15
2020-05-07;32
2020-05-08;11
2020-05-09;5
2020-05-10;2
2020-05-11;18
2020-05-12;10
2020-05-13;25
2020-05-14;12
2020-05-15;18
2020-05-16;2
2020-05-17;4
2020-05-18;19
2020-05-19;13
2020-05-20;19
2020-05-21;13
2020-05-22;25
2020-05-23;2
2020-05-24;1
2020-05-25;22
2020-05-26;25
2020-05-27;13
2020-05-28;12
2020-05-29;32
2020-05-30;4
2020-05-31;7
2020-06-01;41
2020-06-02;19
2020-06-03;37
2020-06-04;28
2020-06-05;38
2020-06-06;19
2020-06-07;11
2020-06-08;50
2020-06-09;47
2020-06-10;43
2020-06-11;8
2020-06-12;45
2020-06-13;6
2020-06-14;9
2020-06-15;49
2020-06-16;67
2020-06-17;36
2020-06-18;66
2020-06-19;59
2020-06-20;17
2020-06-21;25
2020-06-22;148
2020-06-23;84
2020-06-24;103
2020-06-25;105
2020-06-26;102
2020-06-27;37
2020-06-28;33
2020-06-29;128
2020-06-30;107
2020-07-01;73
2020-07-02;124
2020-07-03;120
2020-07-04;43
2020-07-05;58
2020-07-06;209
2020-07-07;186
2020-07-08;180
2020-07-09;213
2020-07-10;155
2020-07-11;39
2020-07-12;42
2020-07-13;217
2020-07-14;259
2020-07-15;203
2020-07-16;218
2020-07-17;247
2020-07-18;72
2020-07-19;59
2020-07-20;326
2020-07-21;265
2020-07-22;268
2020-07-23;256
2020-07-24;321
2020-07-25;65
2020-07-26;62
2020-07-27;274
2020-07-28;213
2020-07-29;194
2020-07-30;256
2020-07-31;225
2020-08-01;81
2020-08-02;35
2020-08-03;205
2020-08-04;197
2020-08-05;177
