sub_region_2;metro_area;iso_3166_2_code;census_fips_code;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
Florianópolis;;;;2020-02-25;-20;-20;3;-26;-61;11
Florianópolis;;;;2020-02-26;-22;-10;-36;-11;-7;7
Florianópolis;;;;2020-02-27;-11;-1;-8;8;19;-1
Florianópolis;;;;2020-02-28;-11;-2;-31;2;19;-1
Florianópolis;;;;2020-02-29;-14;-4;-14;-5;0;2
Florianópolis;;;;2020-03-01;-19;-11;-32;-15;-8;3
Florianópolis;;;;2020-03-02;-15;-9;-58;2;16;0
Florianópolis;;;;2020-03-03;-13;-8;-56;3;15;0
Florianópolis;;;;2020-03-04;-11;-7;-20;5;18;-2
Florianópolis;;;;2020-03-05;-10;-3;-24;6;19;-3
Florianópolis;;;;2020-03-06;-7;0;-41;5;19;-3
Florianópolis;;;;2020-03-07;-10;0;-35;-10;0;1
Florianópolis;;;;2020-03-08;-11;-8;-30;-13;-7;2
Florianópolis;;;;2020-03-09;-12;-6;-34;9;18;-1
Florianópolis;;;;2020-03-10;-12;-6;-38;9;17;-2
Florianópolis;;;;2020-03-11;-10;-5;-14;8;17;-2
Florianópolis;;;;2020-03-12;-13;-1;-26;7;18;-3
Florianópolis;;;;2020-03-13;-14;-1;-42;3;17;-2
Florianópolis;;;;2020-03-14;-19;-3;-32;-16;-3;2
Florianópolis;;;;2020-03-15;-25;-9;-34;-22;-11;3
Florianópolis;;;;2020-03-16;-29;-8;-58;-11;7;4
Florianópolis;;;;2020-03-17;-36;-6;-64;-26;-9;8
Florianópolis;;;;2020-03-18;-58;-10;-60;-46;-30;15
Florianópolis;;;;2020-03-19;-82;-44;-69;-81;-64;26
Florianópolis;;;;2020-03-20;-86;-52;-88;-85;-69;31
Florianópolis;;;;2020-03-21;-89;-57;-92;-86;-62;27
Florianópolis;;;;2020-03-22;-90;-66;-94;-88;-60;26
Florianópolis;;;;2020-03-23;-90;-68;-92;-91;-82;35
Florianópolis;;;;2020-03-24;-87;-59;-91;-91;-74;31
Florianópolis;;;;2020-03-25;-87;-60;-85;-91;-73;32
Florianópolis;;;;2020-03-26;-86;-59;-85;-90;-72;30
Florianópolis;;;;2020-03-27;-86;-58;-87;-90;-71;33
Florianópolis;;;;2020-03-28;-86;-56;-89;-90;-61;26
Florianópolis;;;;2020-03-29;-87;-64;-91;-90;-55;24
Florianópolis;;;;2020-03-30;-83;-56;-85;-89;-68;29
Florianópolis;;;;2020-03-31;-82;-53;-84;-89;-68;28
Florianópolis;;;;2020-04-01;-80;-50;-77;-89;-65;28
Florianópolis;;;;2020-04-02;-79;-50;-81;-89;-65;27
Florianópolis;;;;2020-04-03;-79;-48;-83;-88;-62;28
Florianópolis;;;;2020-04-04;-80;-48;-84;-87;-54;23
Florianópolis;;;;2020-04-05;-84;-57;-86;-88;-52;22
Florianópolis;;;;2020-04-06;-76;-52;-87;-88;-59;26
Florianópolis;;;;2020-04-07;-73;-44;-85;-86;-59;25
Florianópolis;;;;2020-04-08;-70;-40;-72;-86;-55;24
Florianópolis;;;;2020-04-09;-68;-30;-74;-85;-55;22
Florianópolis;;;;2020-04-10;-85;-59;-84;-91;-79;33
Florianópolis;;;;2020-04-11;-75;-37;-84;-86;-47;21
Florianópolis;;;;2020-04-12;-85;-75;-87;-87;-50;20
Florianópolis;;;;2020-04-13;-71;-47;-82;-86;-53;24
Florianópolis;;;;2020-04-14;-72;-48;-84;-87;-54;24
Florianópolis;;;;2020-04-15;-72;-46;-73;-86;-52;24
Florianópolis;;;;2020-04-16;-72;-44;-75;-85;-52;23
Florianópolis;;;;2020-04-17;-73;-44;-82;-86;-51;25
Florianópolis;;;;2020-04-18;-76;-44;-83;-86;-43;20
Florianópolis;;;;2020-04-19;-81;-56;-83;-87;-46;20
Florianópolis;;;;2020-04-20;-66;-43;-77;-85;-50;22
Florianópolis;;;;2020-04-21;-80;-58;-73;-89;-74;28
Florianópolis;;;;2020-04-22;-64;-42;-67;-84;-45;21
Florianópolis;;;;2020-04-23;-64;-41;-69;-84;-45;21
Florianópolis;;;;2020-04-24;-65;-41;-76;-84;-44;22
Florianópolis;;;;2020-04-25;-68;-40;-76;-84;-34;18
Florianópolis;;;;2020-04-26;-74;-52;-75;-86;-37;17
Florianópolis;;;;2020-04-27;-64;-46;-82;-86;-44;22
Florianópolis;;;;2020-04-28;-64;-45;-81;-85;-45;21
Florianópolis;;;;2020-04-29;-62;-41;-66;-84;-42;21
Florianópolis;;;;2020-04-30;-59;-30;-73;-82;-40;17
Florianópolis;;;;2020-05-01;-80;-57;-80;-89;-72;29
Florianópolis;;;;2020-05-02;-64;-35;-77;-82;-32;17
Florianópolis;;;;2020-05-03;-72;-51;-79;-83;-33;16
Florianópolis;;;;2020-05-04;-60;-38;-79;-83;-39;20
Florianópolis;;;;2020-05-05;-60;-36;-80;-82;-40;19
Florianópolis;;;;2020-05-06;-63;-38;-77;-84;-41;21
Florianópolis;;;;2020-05-07;-56;-27;-70;-81;-38;18
Florianópolis;;;;2020-05-08;-55;-25;-75;-81;-37;19
Florianópolis;;;;2020-05-09;-56;-21;-78;-79;-26;15
Florianópolis;;;;2020-05-10;-69;-43;-82;-82;-22;14
Florianópolis;;;;2020-05-11;-59;-37;-76;-82;-39;19
Florianópolis;;;;2020-05-12;-59;-37;-78;-82;-39;19
Florianópolis;;;;2020-05-13;-62;-39;-76;-83;-40;21
Florianópolis;;;;2020-05-14;-59;-34;-74;-82;-38;19
Florianópolis;;;;2020-05-15;-59;-32;-78;-82;-36;20
Florianópolis;;;;2020-05-16;-59;-31;-74;-80;-26;16
Florianópolis;;;;2020-05-17;-66;-44;-71;-83;-29;16
Florianópolis;;;;2020-05-18;-58;-39;-76;-83;-37;19
Florianópolis;;;;2020-05-19;-58;-37;-77;-82;-38;19
Florianópolis;;;;2020-05-20;-58;-36;-68;-82;-37;19
Florianópolis;;;;2020-05-21;-58;-34;-72;-81;-36;18
Florianópolis;;;;2020-05-22;-60;-36;-82;-82;-36;21
Florianópolis;;;;2020-05-23;-60;-32;-78;-80;-24;16
Florianópolis;;;;2020-05-24;-65;-45;-74;-82;-28;16
Florianópolis;;;;2020-05-25;-57;-38;-77;-82;-37;19
Florianópolis;;;;2020-05-26;-57;-36;-78;-81;-37;19
Florianópolis;;;;2020-05-27;-57;-35;-67;-81;-35;19
Florianópolis;;;;2020-05-28;-56;-33;-69;-81;-35;18
Florianópolis;;;;2020-05-29;-55;-30;-76;-81;-33;19
Florianópolis;;;;2020-05-30;-55;-27;-71;-78;-19;14
Florianópolis;;;;2020-05-31;-61;-41;-68;-80;-21;14
Florianópolis;;;;2020-06-01;-58;-37;-84;-83;-36;20
Florianópolis;;;;2020-06-02;-54;-33;-79;-81;-35;19
Florianópolis;;;;2020-06-03;-53;-30;-65;-81;-32;18
Florianópolis;;;;2020-06-04;-54;-29;-71;-80;-32;17
Florianópolis;;;;2020-06-05;-60;-34;-87;-82;-35;20
Florianópolis;;;;2020-06-06;-53;-24;-80;-79;-20;15
Florianópolis;;;;2020-06-07;-58;-38;-69;-79;-18;14
Florianópolis;;;;2020-06-08;-50;-29;-74;-80;-31;17
Florianópolis;;;;2020-06-09;-53;-33;-80;-81;-33;18
Florianópolis;;;;2020-06-10;-51;-27;-75;-79;-32;17
Florianópolis;;;;2020-06-11;-64;-41;-63;-85;-63;23
Florianópolis;;;;2020-06-12;-44;-20;-69;-79;-36;17
Florianópolis;;;;2020-06-13;-58;-34;-80;-82;-19;15
Florianópolis;;;;2020-06-14;-66;-45;-84;-82;-22;15
Florianópolis;;;;2020-06-15;-53;-33;-81;-80;-33;18
Florianópolis;;;;2020-06-16;-58;-38;-86;-83;-35;19
Florianópolis;;;;2020-06-17;-53;-31;-71;-74;-32;18
Florianópolis;;;;2020-06-18;-53;-30;-72;-73;-32;17
Florianópolis;;;;2020-06-19;-51;-28;-71;-71;-29;17
Florianópolis;;;;2020-06-20;-51;-26;-62;-77;-15;12
Florianópolis;;;;2020-06-21;-56;-37;-60;-78;-17;12
Florianópolis;;;;2020-06-22;-53;-34;-76;-68;-32;17
Florianópolis;;;;2020-06-23;-51;-31;-75;-67;-33;17
Florianópolis;;;;2020-06-24;-59;-34;-67;-69;-33;18
Florianópolis;;;;2020-06-25;-62;-35;-76;-69;-35;18
Florianópolis;;;;2020-06-26;-61;-31;-81;-69;-34;19
Florianópolis;;;;2020-06-27;-73;-39;-91;-84;-31;20
Florianópolis;;;;2020-06-28;-77;-46;-87;-84;-27;18
Florianópolis;;;;2020-06-29;-61;-39;-84;-70;-36;20
Florianópolis;;;;2020-06-30;-62;-40;-83;-71;-38;10
Florianópolis;;;;2020-07-01;-64;-40;-75;-75;-45;3
Florianópolis;;;;2020-07-02;-56;-28;-76;-69;-35;10
Florianópolis;;;;2020-07-03;-53;-24;-78;-66;-33;14
Florianópolis;;;;2020-07-04;-61;-23;-80;-79;-23;13
Florianópolis;;;;2020-07-05;-75;-41;-87;-82;-28;16
Florianópolis;;;;2020-07-06;-54;-31;-84;-67;-35;18
Florianópolis;;;;2020-07-07;-59;-35;-87;-72;-39;20
Florianópolis;;;;2020-07-08;-55;-28;-75;-68;-34;18
